Cidades,Estados,Geocode
Jatobá do Piauí/PI,PI,2205276.0
Jerumenha/PI,PI,2205300.0
João Costa/PI,PI,2205359.0
Joaquim Pires/PI,PI,2205409.0
Joca Marques/PI,PI,2205458.0
José de Freitas/PI,PI,2205508.0
Juazeiro do Piauí/PI,PI,2205516.0
Júlio Borges/PI,PI,2205524.0
Jurema/PI,PI,2205532.0
Lagoinha do Piauí/PI,PI,2205540.0
Lagoa Alegre/PI,PI,2205557.0
Lagoa do Barro do Piauí/PI,PI,2205565.0
Lagoa de São Francisco/PI,PI,2205573.0
Lagoa do Piauí/PI,PI,2205581.0
Lagoa do Sítio/PI,PI,2205599.0
Landri Sales/PI,PI,2205607.0
Luís Correia/PI,PI,2205706.0
Luzilândia/PI,PI,2205805.0
Madeiro/PI,PI,2205854.0
Manoel Emídio/PI,PI,2205904.0
Marcolândia/PI,PI,2205953.0
Marcos Parente/PI,PI,2206001.0
Massapê do Piauí/PI,PI,2206050.0
Matias Olímpio/PI,PI,2206100.0
Miguel Alves/PI,PI,2206209.0
Miguel Leão/PI,PI,2206308.0
Milton Brandão/PI,PI,2206357.0
Monsenhor Gil/PI,PI,2206407.0
Monsenhor Hipólito/PI,PI,2206506.0
Monte Alegre do Piauí/PI,PI,2206605.0
Morro Cabeça no Tempo/PI,PI,2206654.0
Morro do Chapéu do Piauí/PI,PI,2206670.0
Murici dos Portelas/PI,PI,2206696.0
Nazaré do Piauí/PI,PI,2206704.0
Nazária/PI,PI,2206720.0
Nossa Senhora de Nazaré/PI,PI,2206753.0
Nossa Senhora dos Remédios/PI,PI,2206803.0
Novo Oriente do Piauí/PI,PI,2206902.0
Novo Santo Antônio/PI,PI,2206951.0
Oeiras/PI,PI,2207009.0
Olho D'Água do Piauí/PI,PI,2207108.0
Padre Marcos/PI,PI,2207207.0
Paes Landim/PI,PI,2207306.0
Pajeú do Piauí/PI,PI,2207355.0
Palmeira do Piauí/PI,PI,2207405.0
Palmeirais/PI,PI,2207504.0
Paquetá/PI,PI,2207553.0
Parnaguá/PI,PI,2207603.0
Parnaíba/PI,PI,2207702.0
Passagem Franca do Piauí/PI,PI,2207751.0
Patos do Piauí/PI,PI,2207777.0
Pau D'Arco do Piauí/PI,PI,2207793.0
Paulistana/PI,PI,2207801.0
Pedro II/PI,PI,2207900.0
Pedro Laurentino/PI,PI,2207934.0
Nova Santa Rita/PI,PI,2207959.0
Picos/PI,PI,2208007.0
Pimenteiras/PI,PI,2208106.0
Pio IX/PI,PI,2208205.0
Piracuruca/PI,PI,2208304.0
Piripiri/PI,PI,2208403.0
Porto/PI,PI,2208502.0
Porto Alegre do Piauí/PI,PI,2208551.0
Prata do Piauí/PI,PI,2208601.0
Queimada Nova/PI,PI,2208650.0
Redenção do Gurguéia/PI,PI,2208700.0
Regeneração/PI,PI,2208809.0
Riacho Frio/PI,PI,2208858.0
Ribeira do Piauí/PI,PI,2208874.0
Ribeiro Gonçalves/PI,PI,2208908.0
Rio Grande do Piauí/PI,PI,2209005.0
Santa Cruz do Piauí/PI,PI,2209104.0
Santa Cruz dos Milagres/PI,PI,2209153.0
Santa Filomena/PI,PI,2209203.0
Santa Luz/PI,PI,2209302.0
Santana do Piauí/PI,PI,2209351.0
Santa Rosa do Piauí/PI,PI,2209377.0
Santo Antônio de Lisboa/PI,PI,2209401.0
Santo Antônio dos Milagres/PI,PI,2209450.0
Santo Inácio do Piauí/PI,PI,2209500.0
São Braz do Piauí/PI,PI,2209559.0
São Félix do Piauí/PI,PI,2209609.0
São Francisco de Assis do Piauí/PI,PI,2209658.0
São Francisco do Piauí/PI,PI,2209708.0
São Gonçalo do Gurguéia/PI,PI,2209757.0
São Gonçalo do Piauí/PI,PI,2209807.0
São João da Canabrava/PI,PI,2209856.0
São João da Fronteira/PI,PI,2209872.0
São João da Serra/PI,PI,2209906.0
São João da Varjota/PI,PI,2209955.0
São João do Arraial/PI,PI,2209971.0
São João do Piauí/PI,PI,2210003.0
São José do Divino/PI,PI,2210052.0
São José do Peixe/PI,PI,2210102.0
São José do Piauí/PI,PI,2210201.0
São Julião/PI,PI,2210300.0
São Lourenço do Piauí/PI,PI,2210359.0
São Luis do Piauí/PI,PI,2210375.0
São Miguel da Baixa Grande/PI,PI,2210383.0
São Miguel do Fidalgo/PI,PI,2210391.0
São Miguel do Tapuio/PI,PI,2210409.0
São Pedro do Piauí/PI,PI,2210508.0
São Raimundo Nonato/PI,PI,2210607.0
Sebastião Barros/PI,PI,2210623.0
Sebastião Leal/PI,PI,2210631.0
Sigefredo Pacheco/PI,PI,2210656.0
Simões/PI,PI,2210706.0
Simplício Mendes/PI,PI,2210805.0
Socorro do Piauí/PI,PI,2210904.0
Sussuapara/PI,PI,2210938.0
Tamboril do Piauí/PI,PI,2210953.0
Tanque do Piauí/PI,PI,2210979.0
Teresina/PI,PI,2211001.0
União/PI,PI,2211100.0
Uruçuí/PI,PI,2211209.0
Valença do Piauí/PI,PI,2211308.0
Várzea Branca/PI,PI,2211357.0
Várzea Grande/PI,PI,2211407.0
Vera Mendes/PI,PI,2211506.0
Vila Nova do Piauí/PI,PI,2211605.0
Wall Ferraz/PI,PI,2211704.0
Abaiara/CE,CE,2300101.0
Acarape/CE,CE,2300150.0
Acaraú/CE,CE,2300200.0
Acopiara/CE,CE,2300309.0
Aiuaba/CE,CE,2300408.0
Alcântaras/CE,CE,2300507.0
Altaneira/CE,CE,2300606.0
Alto Santo/CE,CE,2300705.0
Amontada/CE,CE,2300754.0
Antonina do Norte/CE,CE,2300804.0
Apuiarés/CE,CE,2300903.0
Aquiraz/CE,CE,2301000.0
Aracati/CE,CE,2301109.0
Aracoiaba/CE,CE,2301208.0
Ararendá/CE,CE,2301257.0
Araripe/CE,CE,2301307.0
Aratuba/CE,CE,2301406.0
Arneiroz/CE,CE,2301505.0
Assaré/CE,CE,2301604.0
Aurora/CE,CE,2301703.0
Baixio/CE,CE,2301802.0
Banabuiú/CE,CE,2301851.0
Barbalha/CE,CE,2301901.0
Barreira/CE,CE,2301950.0
Barro/CE,CE,2302008.0
Barroquinha/CE,CE,2302057.0
Baturité/CE,CE,2302107.0
Beberibe/CE,CE,2302206.0
Bela Cruz/CE,CE,2302305.0
Boa Viagem/CE,CE,2302404.0
Brejo Santo/CE,CE,2302503.0
Camocim/CE,CE,2302602.0
Campos Sales/CE,CE,2302701.0
Canindé/CE,CE,2302800.0
Capistrano/CE,CE,2302909.0
Caridade/CE,CE,2303006.0
Cariré/CE,CE,2303105.0
Caririaçu/CE,CE,2303204.0
Cariús/CE,CE,2303303.0
Carnaubal/CE,CE,2303402.0
Cascavel/CE,CE,2303501.0
Catarina/CE,CE,2303600.0
Catunda/CE,CE,2303659.0
Caucaia/CE,CE,2303709.0
Cedro/CE,CE,2303808.0
Chaval/CE,CE,2303907.0
Choró/CE,CE,2303931.0
Chorozinho/CE,CE,2303956.0
Coreaú/CE,CE,2304004.0
Crateús/CE,CE,2304103.0
Crato/CE,CE,2304202.0
Croatá/CE,CE,2304236.0
Cruz/CE,CE,2304251.0
Deputado Irapuan Pinheiro/CE,CE,2304269.0
Ereré/CE,CE,2304277.0
Eusébio/CE,CE,2304285.0
Farias Brito/CE,CE,2304301.0
Forquilha/CE,CE,2304350.0
Fortaleza/CE,CE,2304400.0
Fortim/CE,CE,2304459.0
Frecheirinha/CE,CE,2304509.0
General Sampaio/CE,CE,2304608.0
Graça/CE,CE,2304657.0
Granja/CE,CE,2304707.0
Granjeiro/CE,CE,2304806.0
Groaíras/CE,CE,2304905.0
Guaiúba/CE,CE,2304954.0
Guaraciaba do Norte/CE,CE,2305001.0
Guaramiranga/CE,CE,2305100.0
Hidrolândia/CE,CE,2305209.0
Horizonte/CE,CE,2305233.0
Ibaretama/CE,CE,2305266.0
Ibiapina/CE,CE,2305308.0
Ibicuitinga/CE,CE,2305332.0
Icapuí/CE,CE,2305357.0
Icó/CE,CE,2305407.0
Iguatu/CE,CE,2305506.0
Independência/CE,CE,2305605.0
Ipaporanga/CE,CE,2305654.0
Ipaumirim/CE,CE,2305704.0
Ipu/CE,CE,2305803.0
Ipueiras/CE,CE,2305902.0
Iracema/CE,CE,2306009.0
Irauçuba/CE,CE,2306108.0
Itaiçaba/CE,CE,2306207.0
Itaitinga/CE,CE,2306256.0
Itapajé/CE,CE,2306306.0
Itapipoca/CE,CE,2306405.0
Itapiúna/CE,CE,2306504.0
Itarema/CE,CE,2306553.0
Itatira/CE,CE,2306603.0
Jaguaretama/CE,CE,2306702.0
Jaguaribara/CE,CE,2306801.0
Jaguaribe/CE,CE,2306900.0
Jaguaruana/CE,CE,2307007.0
Jardim/CE,CE,2307106.0
Jati/CE,CE,2307205.0
Jijoca de Jericoacoara/CE,CE,2307254.0
Juazeiro do Norte/CE,CE,2307304.0
Jucás/CE,CE,2307403.0
Lavras da Mangabeira/CE,CE,2307502.0
Limoeiro do Norte/CE,CE,2307601.0
Madalena/CE,CE,2307635.0
Maracanaú/CE,CE,2307650.0
Maranguape/CE,CE,2307700.0
Marco/CE,CE,2307809.0
Martinópole/CE,CE,2307908.0
Massapê/CE,CE,2308005.0
Mauriti/CE,CE,2308104.0
Meruoca/CE,CE,2308203.0
Milagres/CE,CE,2308302.0
Milhã/CE,CE,2308351.0
Miraíma/CE,CE,2308377.0
Missão Velha/CE,CE,2308401.0
Mombaça/CE,CE,2308500.0
Monsenhor Tabosa/CE,CE,2308609.0
Morada Nova/CE,CE,2308708.0
Moraújo/CE,CE,2308807.0
Morrinhos/CE,CE,2308906.0
Mucambo/CE,CE,2309003.0
Mulungu/CE,CE,2309102.0
Nova Olinda/CE,CE,2309201.0
Nova Russas/CE,CE,2309300.0
Novo Oriente/CE,CE,2309409.0
Ocara/CE,CE,2309458.0
Orós/CE,CE,2309508.0
Pacajus/CE,CE,2309607.0
Pacatuba/CE,CE,2309706.0
Pacoti/CE,CE,2309805.0
Pacujá/CE,CE,2309904.0
Palhano/CE,CE,2310001.0
Palmácia/CE,CE,2310100.0
Paracuru/CE,CE,2310209.0
Paraipaba/CE,CE,2310258.0
Parambu/CE,CE,2310308.0
Paramoti/CE,CE,2310407.0
Pedra Branca/CE,CE,2310506.0
Penaforte/CE,CE,2310605.0
Pentecoste/CE,CE,2310704.0
Pereiro/CE,CE,2310803.0
Pindoretama/CE,CE,2310852.0
Piquet Carneiro/CE,CE,2310902.0
Pires Ferreira/CE,CE,2310951.0
Poranga/CE,CE,2311009.0
Porteiras/CE,CE,2311108.0
Potengi/CE,CE,2311207.0
Potiretama/CE,CE,2311231.0
Quiterianópolis/CE,CE,2311264.0
Quixadá/CE,CE,2311306.0
Quixelô/CE,CE,2311355.0
Quixeramobim/CE,CE,2311405.0
Quixeré/CE,CE,2311504.0
Redenção/CE,CE,2311603.0
Reriutaba/CE,CE,2311702.0
Russas/CE,CE,2311801.0
Saboeiro/CE,CE,2311900.0
Salitre/CE,CE,2311959.0
Santana do Acaraú/CE,CE,2312007.0
Santana do Cariri/CE,CE,2312106.0
Santa Quitéria/CE,CE,2312205.0
São Benedito/CE,CE,2312304.0
São Gonçalo do Amarante/CE,CE,2312403.0
São João do Jaguaribe/CE,CE,2312502.0
São Luís do Curu/CE,CE,2312601.0
Senador Pompeu/CE,CE,2312700.0
Senador Sá/CE,CE,2312809.0
Sobral/CE,CE,2312908.0
Solonópole/CE,CE,2313005.0
Tabuleiro do Norte/CE,CE,2313104.0
Tamboril/CE,CE,2313203.0
Tarrafas/CE,CE,2313252.0
Tauá/CE,CE,2313302.0
Tejuçuoca/CE,CE,2313351.0
Tianguá/CE,CE,2313401.0
Trairi/CE,CE,2313500.0
Tururu/CE,CE,2313559.0
Ubajara/CE,CE,2313609.0
Umari/CE,CE,2313708.0
Umirim/CE,CE,2313757.0
Uruburetama/CE,CE,2313807.0
Uruoca/CE,CE,2313906.0
Varjota/CE,CE,2313955.0
Várzea Alegre/CE,CE,2314003.0
Viçosa do Ceará/CE,CE,2314102.0
Acari/RN,RN,2400109.0
Açu/RN,RN,2400208.0
Afonso Bezerra/RN,RN,2400307.0
Água Nova/RN,RN,2400406.0
Alexandria/RN,RN,2400505.0
Almino Afonso/RN,RN,2400604.0
Alto do Rodrigues/RN,RN,2400703.0
Angicos/RN,RN,2400802.0
Antônio Martins/RN,RN,2400901.0
Apodi/RN,RN,2401008.0
Areia Branca/RN,RN,2401107.0
Arês/RN,RN,2401206.0
Campo Grande/RN,RN,2401305.0
Baía Formosa/RN,RN,2401404.0
Baraúna/RN,RN,2401453.0
Barcelona/RN,RN,2401503.0
Bento Fernandes/RN,RN,2401602.0
Bom Jesus/RN,RN,2401701.0
Brejinho/RN,RN,2401800.0
Caiçara do Norte/RN,RN,2401859.0
Caiçara do Rio do Vento/RN,RN,2401909.0
Caicó/RN,RN,2402006.0
Campo Redondo/RN,RN,2402105.0
Canguaretama/RN,RN,2402204.0
Caraúbas/RN,RN,2402303.0
Carnaúba dos Dantas/RN,RN,2402402.0
Ceará-Mirim/RN,RN,2402600.0
Cerro Corá/RN,RN,2402709.0
Coronel Ezequiel/RN,RN,2402808.0
Coronel João Pessoa/RN,RN,2402907.0
Cruzeta/RN,RN,2403004.0
Currais Novos/RN,RN,2403103.0
Doutor Severiano/RN,RN,2403202.0
Parnamirim/RN,RN,2403251.0
Encanto/RN,RN,2403301.0
Equador/RN,RN,2403400.0
Espírito Santo/RN,RN,2403509.0
Felipe Guerra/RN,RN,2403707.0
Fernando Pedroza/RN,RN,2403756.0
Florânia/RN,RN,2403806.0
Francisco Dantas/RN,RN,2403905.0
Frutuoso Gomes/RN,RN,2404002.0
Galinhos/RN,RN,2404101.0
Goianinha/RN,RN,2404200.0
Governador Dix-Sept Rosado/RN,RN,2404309.0
Grossos/RN,RN,2404408.0
Guamaré/RN,RN,2404507.0
Ielmo Marinho/RN,RN,2404606.0
Ipanguaçu/RN,RN,2404705.0
Ipueira/RN,RN,2404804.0
Itajá/RN,RN,2404853.0
Itaú/RN,RN,2404903.0
Jaçanã/RN,RN,2405009.0
Jandaíra/RN,RN,2405108.0
Janduís/RN,RN,2405207.0
Jardim de Angicos/RN,RN,2405504.0
Jardim de Piranhas/RN,RN,2405603.0
Jardim do Seridó/RN,RN,2405702.0
João Câmara/RN,RN,2405801.0
João Dias/RN,RN,2405900.0
José da Penha/RN,RN,2406007.0
Jucurutu/RN,RN,2406106.0
Jundiá/RN,RN,2406155.0
Lagoa d'Anta/RN,RN,2406205.0
Lagoa de Pedras/RN,RN,2406304.0
Lagoa Nova/RN,RN,2406502.0
Lagoa Salgada/RN,RN,2406601.0
Lajes/RN,RN,2406700.0
Lajes Pintadas/RN,RN,2406809.0
Lucrécia/RN,RN,2406908.0
Luís Gomes/RN,RN,2407005.0
Macaíba/RN,RN,2407104.0
Macau/RN,RN,2407203.0
Major Sales/RN,RN,2407252.0
Marcelino Vieira/RN,RN,2407302.0
Martins/RN,RN,2407401.0
Maxaranguape/RN,RN,2407500.0
Messias Targino/RN,RN,2407609.0
Montanhas/RN,RN,2407708.0
Monte Alegre/RN,RN,2407807.0
Monte das Gameleiras/RN,RN,2407906.0
Mossoró/RN,RN,2408003.0
Natal/RN,RN,2408102.0
Nova Cruz/RN,RN,2408300.0
Olho-d'Água do Borges/RN,RN,2408409.0
Ouro Branco/RN,RN,2408508.0
Paraná/RN,RN,2408607.0
Paraú/RN,RN,2408706.0
Parazinho/RN,RN,2408805.0
Parelhas/RN,RN,2408904.0
Rio do Fogo/RN,RN,2408953.0
Passa e Fica/RN,RN,2409100.0
Passagem/RN,RN,2409209.0
Patu/RN,RN,2409308.0
Santa Maria/RN,RN,2409332.0
Pau dos Ferros/RN,RN,2409407.0
Pedra Grande/RN,RN,2409506.0
Pedra Preta/RN,RN,2409605.0
Pedro Avelino/RN,RN,2409704.0
Pedro Velho/RN,RN,2409803.0
Pendências/RN,RN,2409902.0
Pilões/RN,RN,2410009.0
Poço Branco/RN,RN,2410108.0
Portalegre/RN,RN,2410207.0
Porto do Mangue/RN,RN,2410256.0
Serra Caiada/RN,RN,2410306.0
Pureza/RN,RN,2410405.0
Rafael Fernandes/RN,RN,2410504.0
Rafael Godeiro/RN,RN,2410603.0
Riacho da Cruz/RN,RN,2410702.0
Riacho de Santana/RN,RN,2410801.0
Riachuelo/RN,RN,2410900.0
Rodolfo Fernandes/RN,RN,2411007.0
Tibau/RN,RN,2411056.0
Santa Cruz/RN,RN,2411205.0
Santana do Matos/RN,RN,2411403.0
Santana do Seridó/RN,RN,2411429.0
Santo Antônio/RN,RN,2411502.0
São Bento do Norte/RN,RN,2411601.0
São Bento do Trairí/RN,RN,2411700.0
São Fernando/RN,RN,2411809.0
São Francisco do Oeste/RN,RN,2411908.0
São Gonçalo do Amarante/RN,RN,2412005.0
São João do Sabugi/RN,RN,2412104.0
São José de Mipibu/RN,RN,2412203.0
São José do Campestre/RN,RN,2412302.0
São José do Seridó/RN,RN,2412401.0
São Miguel/RN,RN,2412500.0
São Miguel do Gostoso/RN,RN,2412559.0
São Paulo do Potengi/RN,RN,2412609.0
São Rafael/RN,RN,2412807.0
São Tomé/RN,RN,2412906.0
São Vicente/RN,RN,2413003.0
Senador Elói de Souza/RN,RN,2413102.0
Senador Georgino Avelino/RN,RN,2413201.0
Serra de São Bento/RN,RN,2413300.0
Serra do Mel/RN,RN,2413359.0
Serra Negra do Norte/RN,RN,2413409.0
Serrinha/RN,RN,2413508.0
Serrinha dos Pintos/RN,RN,2413557.0
Severiano Melo/RN,RN,2413607.0
Taboleiro Grande/RN,RN,2413805.0
Taipu/RN,RN,2413904.0
Tangará/RN,RN,2414001.0
Tenente Ananias/RN,RN,2414100.0
Tenente Laurentino Cruz/RN,RN,2414159.0
Tibau do Sul/RN,RN,2414209.0
Timbaúba dos Batistas/RN,RN,2414308.0
Touros/RN,RN,2414407.0
Triunfo Potiguar/RN,RN,2414456.0
Umarizal/RN,RN,2414506.0
Upanema/RN,RN,2414605.0
Várzea/RN,RN,2414704.0
Venha-Ver/RN,RN,2414753.0
Vera Cruz/RN,RN,2414803.0
Viçosa/RN,RN,2414902.0
Água Branca/PB,PB,2500106.0
Aguiar/PB,PB,2500205.0
Alagoa Grande/PB,PB,2500304.0
Alagoa Nova/PB,PB,2500403.0
Alagoinha/PB,PB,2500502.0
Alcantil/PB,PB,2500536.0
Algodão de Jandaíra/PB,PB,2500577.0
Alhandra/PB,PB,2500601.0
São João do Rio do Peixe/PB,PB,2500700.0
Amparo/PB,PB,2500734.0
Aparecida/PB,PB,2500775.0
Araçagi/PB,PB,2500809.0
Arara/PB,PB,2500908.0
Araruna/PB,PB,2501005.0
Areia/PB,PB,2501104.0
Areia de Baraúnas/PB,PB,2501153.0
Areial/PB,PB,2501203.0
Aroeiras/PB,PB,2501302.0
Assunção/PB,PB,2501351.0
Baía da Traição/PB,PB,2501401.0
Bananeiras/PB,PB,2501500.0
Baraúna/PB,PB,2501534.0
Barra de Santana/PB,PB,2501575.0
Barra de Santa Rosa/PB,PB,2501609.0
Barra de São Miguel/PB,PB,2501708.0
Bayeux/PB,PB,2501807.0
Belém/PB,PB,2501906.0
Belém do Brejo do Cruz/PB,PB,2502003.0
Bernardino Batista/PB,PB,2502052.0
Boa Ventura/PB,PB,2502102.0
Boa Vista/PB,PB,2502151.0
Bom Sucesso/PB,PB,2502300.0
Bonito de Santa Fé/PB,PB,2502409.0
Boqueirão/PB,PB,2502508.0
Igaracy/PB,PB,2502607.0
Borborema/PB,PB,2502706.0
Brejo do Cruz/PB,PB,2502805.0
Brejo dos Santos/PB,PB,2502904.0
Caaporã/PB,PB,2503001.0
Cabaceiras/PB,PB,2503100.0
Cabedelo/PB,PB,2503209.0
Cachoeira dos Índios/PB,PB,2503308.0
Cacimba de Areia/PB,PB,2503407.0
Cacimba de Dentro/PB,PB,2503506.0
Cacimbas/PB,PB,2503555.0
Caiçara/PB,PB,2503605.0
Cajazeiras/PB,PB,2503704.0
Cajazeirinhas/PB,PB,2503753.0
Caldas Brandão/PB,PB,2503803.0
Camalaú/PB,PB,2503902.0
Campina Grande/PB,PB,2504009.0
Capim/PB,PB,2504033.0
Caraúbas/PB,PB,2504074.0
Carrapateira/PB,PB,2504108.0
Casserengue/PB,PB,2504157.0
Catingueira/PB,PB,2504207.0
Catolé do Rocha/PB,PB,2504306.0
Caturité/PB,PB,2504355.0
Conceição/PB,PB,2504405.0
Condado/PB,PB,2504504.0
Conde/PB,PB,2504603.0
Congo/PB,PB,2504702.0
Coremas/PB,PB,2504801.0
Coxixola/PB,PB,2504850.0
Cruz do Espírito Santo/PB,PB,2504900.0
Cubati/PB,PB,2505006.0
Cuité/PB,PB,2505105.0
Cuitegi/PB,PB,2505204.0
Cuité de Mamanguape/PB,PB,2505238.0
Curral de Cima/PB,PB,2505279.0
Curral Velho/PB,PB,2505303.0
Damião/PB,PB,2505352.0
Desterro/PB,PB,2505402.0
Vista Serrana/PB,PB,2505501.0
Diamante/PB,PB,2505600.0
Dona Inês/PB,PB,2505709.0
Duas Estradas/PB,PB,2505808.0
Emas/PB,PB,2505907.0
Esperança/PB,PB,2506004.0
Fagundes/PB,PB,2506103.0
Frei Martinho/PB,PB,2506202.0
Gado Bravo/PB,PB,2506251.0
Guarabira/PB,PB,2506301.0
Gurinhém/PB,PB,2506400.0
Gurjão/PB,PB,2506509.0
Ibiara/PB,PB,2506608.0
Imaculada/PB,PB,2506707.0
Ingá/PB,PB,2506806.0
Itabaiana/PB,PB,2506905.0
Itaporanga/PB,PB,2507002.0
Itapororoca/PB,PB,2507101.0
Itatuba/PB,PB,2507200.0
Jacaraú/PB,PB,2507309.0
Jericó/PB,PB,2507408.0
João Pessoa/PB,PB,2507507.0
Juarez Távora/PB,PB,2507606.0
Juazeirinho/PB,PB,2507705.0
Junco do Seridó/PB,PB,2507804.0
Juripiranga/PB,PB,2507903.0
Juru/PB,PB,2508000.0
Lagoa/PB,PB,2508109.0
Lagoa de Dentro/PB,PB,2508208.0
Lagoa Seca/PB,PB,2508307.0
Lastro/PB,PB,2508406.0
Livramento/PB,PB,2508505.0
Logradouro/PB,PB,2508554.0
Mãe d'Água/PB,PB,2508703.0
Malta/PB,PB,2508802.0
Mamanguape/PB,PB,2508901.0
Manaíra/PB,PB,2509008.0
Marcação/PB,PB,2509057.0
Mari/PB,PB,2509107.0
Marizópolis/PB,PB,2509156.0
Massaranduba/PB,PB,2509206.0
Mataraca/PB,PB,2509305.0
Matinhas/PB,PB,2509339.0
Mato Grosso/PB,PB,2509370.0
Maturéia/PB,PB,2509396.0
Mogeiro/PB,PB,2509404.0
Montadas/PB,PB,2509503.0
Monte Horebe/PB,PB,2509602.0
Monteiro/PB,PB,2509701.0
Mulungu/PB,PB,2509800.0
Natuba/PB,PB,2509909.0
Nazarezinho/PB,PB,2510006.0
Nova Floresta/PB,PB,2510105.0
Nova Olinda/PB,PB,2510204.0
Nova Palmeira/PB,PB,2510303.0
Olho d'Água/PB,PB,2510402.0
Olivedos/PB,PB,2510501.0
Ouro Velho/PB,PB,2510600.0
Passagem/PB,PB,2510709.0
Patos/PB,PB,2510808.0
Paulista/PB,PB,2510907.0
Pedra Branca/PB,PB,2511004.0
Pedra Lavrada/PB,PB,2511103.0
Pedras de Fogo/PB,PB,2511202.0
Piancó/PB,PB,2511301.0
Picuí/PB,PB,2511400.0
Pilar/PB,PB,2511509.0
Pilões/PB,PB,2511608.0
Pilõezinhos/PB,PB,2511707.0
Pirpirituba/PB,PB,2511806.0
Pitimbu/PB,PB,2511905.0
Pocinhos/PB,PB,2512002.0
Poço Dantas/PB,PB,2512036.0
Poço de José de Moura/PB,PB,2512077.0
Pombal/PB,PB,2512101.0
Prata/PB,PB,2512200.0
Princesa Isabel/PB,PB,2512309.0
Puxinanã/PB,PB,2512408.0
Queimadas/PB,PB,2512507.0
Quixaba/PB,PB,2512606.0
Remígio/PB,PB,2512705.0
Pedro Régis/PB,PB,2512721.0
Riachão do Bacamarte/PB,PB,2512754.0
Riacho de Santo Antônio/PB,PB,2512788.0
Riacho dos Cavalos/PB,PB,2512804.0
Rio Tinto/PB,PB,2512903.0
Salgadinho/PB,PB,2513000.0
Salgado de São Félix/PB,PB,2513109.0
Santa Cecília/PB,PB,2513158.0
Santa Cruz/PB,PB,2513208.0
Santa Helena/PB,PB,2513307.0
Santa Inês/PB,PB,2513356.0
Santa Luzia/PB,PB,2513406.0
Santana de Mangueira/PB,PB,2513505.0
Santana dos Garrotes/PB,PB,2513604.0
Joca Claudino/PB,PB,2513653.0
Santa Rita/PB,PB,2513703.0
Santa Teresinha/PB,PB,2513802.0
Santo André/PB,PB,2513851.0
São Bento/PB,PB,2513901.0
São Bentinho/PB,PB,2513927.0
São Domingos do Cariri/PB,PB,2513943.0
São Domingos/PB,PB,2513968.0
São Francisco/PB,PB,2513984.0
São João do Cariri/PB,PB,2514008.0
São João do Tigre/PB,PB,2514107.0
São José da Lagoa Tapada/PB,PB,2514206.0
São José de Caiana/PB,PB,2514305.0
São José de Espinharas/PB,PB,2514404.0
São José dos Ramos/PB,PB,2514453.0
São José de Piranhas/PB,PB,2514503.0
São José de Princesa/PB,PB,2514552.0
São José do Bonfim/PB,PB,2514602.0
São José dos Cordeiros/PB,PB,2514800.0
São Mamede/PB,PB,2514909.0
São Miguel de Taipu/PB,PB,2515005.0
São Sebastião de Lagoa de Roça/PB,PB,2515104.0
São Sebastião do Umbuzeiro/PB,PB,2515203.0
Sapé/PB,PB,2515302.0
São Vicente do Seridó/PB,PB,2515401.0
Serra Branca/PB,PB,2515500.0
Serra da Raiz/PB,PB,2515609.0
Serra Grande/PB,PB,2515708.0
Serra Redonda/PB,PB,2515807.0
Serraria/PB,PB,2515906.0
Sertãozinho/PB,PB,2515930.0
Sobrado/PB,PB,2515971.0
Solânea/PB,PB,2516003.0
Soledade/PB,PB,2516102.0
Sossêgo/PB,PB,2516151.0
Sousa/PB,PB,2516201.0
Sumé/PB,PB,2516300.0
Tacima/PB,PB,2516409.0
Taperoá/PB,PB,2516508.0
Tavares/PB,PB,2516607.0
Teixeira/PB,PB,2516706.0
Triunfo/PB,PB,2516805.0
Uiraúna/PB,PB,2516904.0
Umbuzeiro/PB,PB,2517001.0
Várzea/PB,PB,2517100.0
Vieirópolis/PB,PB,2517209.0
Zabelê/PB,PB,2517407.0
Abreu e Lima/PE,PE,2600054.0
Afogados da Ingazeira/PE,PE,2600104.0
Afrânio/PE,PE,2600203.0
Agrestina/PE,PE,2600302.0
Água Preta/PE,PE,2600401.0
Águas Belas/PE,PE,2600500.0
Alagoinha/PE,PE,2600609.0
Aliança/PE,PE,2600708.0
Altinho/PE,PE,2600807.0
Amaraji/PE,PE,2600906.0
Angelim/PE,PE,2601003.0
Araçoiaba/PE,PE,2601052.0
Araripina/PE,PE,2601102.0
Arcoverde/PE,PE,2601201.0
Barra de Guabiraba/PE,PE,2601300.0
Barreiros/PE,PE,2601409.0
Belém de Maria/PE,PE,2601508.0
Belém do São Francisco/PE,PE,2601607.0
Belo Jardim/PE,PE,2601706.0
Betânia/PE,PE,2601805.0
Bezerros/PE,PE,2601904.0
Bodocó/PE,PE,2602001.0
Bom Conselho/PE,PE,2602100.0
Bom Jardim/PE,PE,2602209.0
Bonito/PE,PE,2602308.0
Brejão/PE,PE,2602407.0
Brejinho/PE,PE,2602506.0
Brejo da Madre de Deus/PE,PE,2602605.0
Buenos Aires/PE,PE,2602704.0
Buíque/PE,PE,2602803.0
Cabo de Santo Agostinho/PE,PE,2602902.0
Cabrobó/PE,PE,2603009.0
Cachoeirinha/PE,PE,2603108.0
Caetés/PE,PE,2603207.0
Calçado/PE,PE,2603306.0
Calumbi/PE,PE,2603405.0
Camaragibe/PE,PE,2603454.0
